"";"dateheure";"h13d";"h110d";"hmaxd";"hrmsd";"h2percentd";"th13d";"th110d";"tavd";"thmaxd";"tmaxd";"etamax";"etamin";"sz13d";"szmaxd";"tszmaxd";"skew";"kurt";"rhh";"tp";"t02";"te";"eps2";"kapa";"thetap";"thetam";"sigmap";"sigmam";"nbsys";"hm0_s1";"tp_s1";"t02_s1";"te_s1";"eps2_s1";"kapa_s1";"thetap_s1";"thetam_s1";"sigmap_s1";"sigmam_s1";"hm0_s2";"tp_s2";"t02_s2";"te_s2";"eps2_s2";"kapa_s2";"thetap_s2";"thetam_s2";"sigmap_s2";"sigmam_s2";"hm0_s3";"tp_s3";"t02_s3";"te_s3";"eps2_s3";"kapa_s3";"thetap_s3";"thetam_s3";"sigmap_s3";"sigmam_s3";"hm0_s4";"tp_s4";"t02_s4";"te_s4";"eps2_s4";"kapa_s4";"thetap_s4";"thetam_s4";"sigmap_s4";"sigmam_s4"
"1";2016-10-04 14:00:00;0,42;0,53;0,67;0,3;0,58;3,2;3,2;2,9;3,2;6;0,39;0,39;0,047;0,235;0,8;-0,012;2,8;0,12;2,7;2,9;3,4;0,28;0,22;33,3;14,6;23,8;37,8;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"2";2016-10-04 21:30:00;0,51;0,63;0,95;0,36;0,69;4;4;3,5;3,9;6,1;0,58;0,41;0,033;0,13;1;0,078;3,006;0,34;4,7;3,6;3,9;0,26;0,45;351,1;9,2;49,4;47,8;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
