"";"dateheure";"h13d";"h110d";"hmaxd";"hrmsd";"h2percentd";"th13d";"th110d";"tavd";"thmaxd";"tmaxd";"etamax";"etamin";"sz13d";"szmaxd";"tszmaxd";"skew";"kurt";"rhh";"tp";"t02";"te";"eps2";"kapa";"thetap";"thetam";"sigmap";"sigmam";"nbsys";"hm0_s1";"tp_s1";"t02_s1";"te_s1";"eps2_s1";"kapa_s1";"thetap_s1";"thetam_s1";"sigmap_s1";"sigmam_s1";"hm0_s2";"tp_s2";"t02_s2";"te_s2";"eps2_s2";"kapa_s2";"thetap_s2";"thetam_s2";"sigmap_s2";"sigmam_s2";"hm0_s3";"tp_s3";"t02_s3";"te_s3";"eps2_s3";"kapa_s3";"thetap_s3";"thetam_s3";"sigmap_s3";"sigmam_s3";"hm0_s4";"tp_s4";"t02_s4";"te_s4";"eps2_s4";"kapa_s4";"thetap_s4";"thetam_s4";"sigmap_s4";"sigmam_s4"
"1";2016-10-04 14:00:00;2,28;2,8;3,6;1,6;3,03;12,3;12,1;8,7;12,7;16,1;1,69;1,95;0,033;0,133;2,1;0,01;2,692;0,5;12,7;8,3;11,6;0,6;0,68;288;287,2;16,6;20,9;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"2";2016-10-04 21:30:00;1,87;2,31;2,89;1,32;2,61;9,6;10,8;6,7;10,9;14,9;1,46;1,77;0,049;0,206;1,2;0,003;2,736;0,22;12,7;6,5;9,7;0,6;0,46;300,8;290,3;20,7;25,3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
